Found 803 typosquatting victims from the dataset.
Time to generate candidates for agnostic-duplicate: 0:00:00.302785
Time to generate candidates for active_model_serializers-hash_wrapper: 0:00:00.323869
Time to generate candidates for active_model_serializers-jsonapi_embedded_records_deserializer: 0:00:00.314032
Time to generate candidates for acts_as_splittable: 0:00:00.306330
Time to generate candidates for active_model_serializers_binary: 0:00:00.289660
Time to generate candidates for active_model_serializers_cancancan: 0:00:00.315102
Time to generate candidates for allscripts_unity_client: 0:00:00.284947
Time to generate candidates for acts_as_publishable: 0:00:00.265460
Time to generate candidates for active_model_serializers_validator: 0:00:00.301720
Time to generate candidates for amplitude-api: 0:00:00.327367
Time to generate candidates for active_model_validates_intersection_of: 0:00:00.320259
Time to generate candidates for active_model_validators_ex: 0:00:00.279732
Time to generate candidates for active_public_resources: 0:00:00.311963
Time to generate candidates for active_publisher: 0:00:00.326652
Time to generate candidates for active_record_fix_integer_limit: 0:00:00.275023
Time to generate candidates for active_record_inline_schema: 0:00:00.289045
Time to generate candidates for active_record_lite: 0:00:00.299404
Time to generate candidates for active_record_serialize_json: 0:00:00.302951
Time to generate candidates for android-command-line-tools: 0:00:00.270920
Time to generate candidates for active_replicas: 0:00:00.289052
Time to generate candidates for android_lint_translate_checkstyle_format: 0:00:00.280687
Time to generate candidates for active_scaffold_config_list_vho: 0:00:00.332674
Time to generate candidates for active_serializer: 0:00:00.312009
Time to generate candidates for active_support_alias_class_method: 0:00:00.288470
Time to generate candidates for acts_as_list_with_sti_support: 0:00:00.301032
Time to generate candidates for acts_as_liked: 0:00:00.299824
Time to generate candidates for acts_as_likeable: 0:00:00.311731
Time to generate candidates for activeadmin-mongoid-localize: 0:00:00.356182
Time to generate candidates for activeadmin_globalize_inputs: 0:00:00.304337
Time to generate candidates for apache_sling_api_client: 0:00:00.317110
Time to generate candidates for auto_localize: 0:00:00.309701
Time to generate candidates for auto_flick: 0:00:00.263869
Time to generate candidates for auto_click: 0:00:00.317618
Time to generate candidates for api_client_builder: 0:00:00.306905
Time to generate candidates for activemerchant-clickandbuy: 0:00:00.300161
Time to generate candidates for active_merchant_payline: 0:00:00.286823
Time to generate candidates for api_geo_client: 0:00:00.303968
Time to generate candidates for activerecord_json_validator: 0:00:00.281592
Time to generate candidates for aker-cas_cli: 0:00:00.284789
Time to generate candidates for attr_validator: 0:00:00.286771
Time to generate candidates for age_validator: 0:00:00.324831
Time to generate candidates for activerecord_globalize: 0:00:00.323953
Time to generate candidates for agave-client: 0:00:00.335683
Time to generate candidates for apple-news-client: 0:00:00.326746
Time to generate candidates for apple_class_client: 0:00:00.327978
Time to generate candidates for apple_dep_client: 0:00:00.271897
Time to generate candidates for application_digester: 0:00:00.278589
Time to generate candidates for ae-validates_timeliness: 0:00:00.293944
Time to generate candidates for application_insights: 0:00:00.307646
Time to generate candidates for application_seeds: 0:00:00.357671
Time to generate candidates for aptible-cli: 0:00:00.325584
Time to generate candidates for asset_pipeline_i18n: 0:00:00.311068
Time to generate candidates for aptly_cli: 0:00:00.297457
Time to generate candidates for adyen-ruby-api-library: 0:00:00.301444
Time to generate candidates for asset_host_client: 0:00:00.323779
Time to generate candidates for advisors_command_client: 0:00:00.383719
Time to generate candidates for activerecord-database_validations: 0:00:00.329223
Time to generate candidates for activerecord-databasevalidations: 0:00:00.304341
Time to generate candidates for ar-serialize-helpers: 0:00:00.309263
Time to generate candidates for activerecord-duplicate: 0:00:00.286300
Time to generate candidates for aspose_slides_cloud: 0:00:00.352426
Time to generate candidates for asciidoctor-pdf-linewrap-ja: 0:00:00.303781
Time to generate candidates for address_validate: 0:00:00.280717
Time to generate candidates for arabic_normalizer: 0:00:00.328561
Time to generate candidates for archivist-client: 0:00:00.310612
Time to generate candidates for array-xml_serialization: 0:00:00.322496
Time to generate candidates for argentinian-validations: 0:00:00.300534
Time to generate candidates for ardm-serializer: 0:00:00.313500
Time to generate candidates for acme-client: 0:00:00.311276
Time to generate candidates for activerecord-denormalize: 0:00:00.292868
Time to generate candidates for arethusa-cli: 0:00:00.291477
Time to generate candidates for ardm-sqlite-adapter: 0:00:00.276412
Time to generate candidates for arethusa-client: 0:00:00.287879
Time to generate candidates for artoo-crazyflie: 0:00:00.314053
Time to generate candidates for action_cable_subscription_adapter: 0:00:00.335579
Time to generate candidates for action_pubsub: 0:00:00.296406
Time to generate candidates for action_subscriber: 0:00:00.309049
Time to generate candidates for acts_as_subscribable: 0:00:00.270814
Time to generate candidates for after_the_deadline: 0:00:00.279956
Time to generate candidates for ajax_submit_rails: 0:00:00.307583
Time to generate candidates for assembly-client: 0:00:00.303866
Time to generate candidates for assemblyline-ruby: 0:00:00.279422
Time to generate candidates for array-subindex: 0:00:00.265195
Time to generate candidates for asset_symlink: 0:00:00.299295
Time to generate candidates for aws_sns_subscription: 0:00:00.278642
Time to generate candidates for approval-ratings-cli-app: 0:00:00.349123
Time to generate candidates for campaign_monitor_subscriber: 0:00:00.282735
Time to generate candidates for activerecord-like: 0:00:00.278558
Time to generate candidates for applicious_utils: 0:00:00.274348
Time to generate candidates for assets_live_compile: 0:00:00.278938
Time to generate candidates for activerecord-msgpack_serializer: 0:00:00.283073
Time to generate candidates for abbyy-cloud: 0:00:00.308739
Time to generate candidates for abn_validator: 0:00:00.301500
Time to generate candidates for alias_class: 0:00:00.297307
Time to generate candidates for applicaster-logger: 0:00:00.315263
Time to generate candidates for applicant_tracking_api: 0:00:00.270254
Time to generate candidates for acception-client: 0:00:00.292431
Time to generate candidates for aliyun-mqs: 0:00:00.278252
Time to generate candidates for active-model-email-validator: 0:00:00.303034
Time to generate candidates for active_admin_filters_visibility: 0:00:00.319858
Time to generate candidates for active_application: 0:00:00.332587
Time to generate candidates for active_model_serializer_plus: 0:00:00.274336
Time to generate candidates for activerecord-rescue_from_duplicate: 0:00:00.302664
Time to generate candidates for active_model_serializers_matchers: 0:00:00.284341
Time to generate candidates for address_validator: 0:00:00.276880
Time to generate candidates for attribute_normalizer-extras: 0:00:00.294358
Time to generate candidates for audiobank-client: 0:00:00.309551
Time to generate candidates for allq_client: 0:00:00.275969
Time to generate candidates for amazon-kinesis-client-ruby: 0:00:00.310022
Time to generate candidates for activerecord_strict_validations: 0:00:00.304762
Time to generate candidates for acts_as_commentable_with_replies: 0:00:00.307301
Time to generate candidates for acts_as_journalized: 0:00:00.285941
Time to generate candidates for amplifypay_ruby: 0:00:00.294885
Time to generate candidates for active_model_type_validator: 0:00:00.286751
Time to generate candidates for auto_scaling_methods: 0:00:00.299815
Time to generate candidates for apache_felix_webconsole_client: 0:00:00.295627
Time to generate candidates for apache_felix_api_client: 0:00:00.275613
Time to generate candidates for active_replica: 0:00:00.318572
Time to generate candidates for active_validator: 0:00:00.309462
Time to generate candidates for active_rest_client: 0:00:00.295944
Time to generate candidates for activevalidation: 0:00:00.277802
Time to generate candidates for ansible_tower_client: 0:00:00.350848
Time to generate candidates for angular_form_validation: 0:00:00.274553
Time to generate candidates for angular-turbolinks: 0:00:00.280207
Time to generate candidates for android_string_resources_validator: 0:00:00.297462
Time to generate candidates for access_policy: 0:00:00.259922
Time to generate candidates for any-validate: 0:00:00.295865
Time to generate candidates for acts_as_multilingual: 0:00:00.304124
Time to generate candidates for ActiveAdmin-Globalize3-inputs: 0:00:00.283635
Time to generate candidates for authenticator-client: 0:00:00.272455
Time to generate candidates for activemerchant_banklink: 0:00:00.260516
Time to generate candidates for apiotics_aws_client: 0:00:00.281037
Time to generate candidates for ama_validators: 0:00:00.287822
Time to generate candidates for active_model_serializers_pg: 0:00:00.275843
Time to generate candidates for apiotics-aws-iot-client: 0:00:00.263582
Time to generate candidates for apitool-client: 0:00:00.297296
Time to generate candidates for acts_as_read_only_i18n_localised: 0:00:00.265427
Time to generate candidates for activerecord-safe_initialize: 0:00:00.292983
Time to generate candidates for aliyun_ruby_api: 0:00:00.291517
Time to generate candidates for appfigures_client: 0:00:00.295048
Time to generate candidates for active_model_policy: 0:00:00.286202
Time to generate candidates for active_model-permalink: 0:00:00.307633
Time to generate candidates for aliyun-slb: 0:00:00.309074
Time to generate candidates for appium_doc_lint: 0:00:00.302886
Time to generate candidates for aliyun-rds: 0:00:00.289897
Time to generate candidates for active_admin_globalize3_locale_selector: 0:00:00.268929
Time to generate candidates for activemodel-behavior_validator: 0:00:00.339327
Time to generate candidates for at-validations: 0:00:00.275088
Time to generate candidates for astroboa-cli: 0:00:00.280983
Time to generate candidates for aliyun-mq-sdk: 0:00:00.268045
Time to generate candidates for alive_state: 0:00:00.268722
Time to generate candidates for aliseeks_api: 0:00:00.271175
Time to generate candidates for alipay_global: 0:00:00.248561
Time to generate candidates for act_as_serializable: 0:00:00.290976
Time to generate candidates for access_policy_rails: 0:00:00.291736
Time to generate candidates for acts_as_localized: 0:00:00.311895
Time to generate candidates for accepts_nested_serialized_attributes: 0:00:00.261709
Time to generate candidates for alidayu_api: 0:00:00.277774
Time to generate candidates for alias_to_method: 0:00:00.289612
Time to generate candidates for alias_scope: 0:00:00.286502
Time to generate candidates for alias_metrics: 0:00:00.267774
Time to generate candidates for activemodel-email_address_validator: 0:00:00.268237
Time to generate candidates for application_config: 0:00:00.297628
Time to generate candidates for ali_mns: 0:00:00.299329
Time to generate candidates for association_validator: 0:00:00.291927
Time to generate candidates for ability_list: 0:00:00.275455
Time to generate candidates for activemodel-immutable_validator: 0:00:00.277233
Time to generate candidates for capistrano-scm-git_with_submodule_and_resolv_symlinks: 0:00:00.281244
Time to generate candidates for capistrano-copy-subdir: 0:00:00.291650
Time to generate candidates for adb-sdklib: 0:00:00.259154
Time to generate candidates for alacrity_client: 0:00:00.292850
Time to generate candidates for activerecord-jdbcsplice-adapter: 0:00:00.271193
Time to generate candidates for assets-publisher-for-hanami: 0:00:00.302943
Time to generate candidates for agile-cli: 0:00:00.271904
Time to generate candidates for activemodel-ipaddr_validator: 0:00:00.321331
Time to generate candidates for activerecord-implicit-order: 0:00:00.292595
Time to generate candidates for activerecord-forbid_implicit_connection_checkout: 0:00:00.321428
Time to generate candidates for ar_lightning: 0:00:00.264653
Time to generate candidates for assembla_cli: 0:00:00.292697
Time to generate candidates for asana-cli: 0:00:00.292513
Time to generate candidates for archive_lister: 0:00:00.288606
Time to generate candidates for adn-cli: 0:00:00.274599
Time to generate candidates for administrate-field-paperclip: 0:00:00.281883
Time to generate candidates for administrate-field-mobility: 0:00:00.308547
Time to generate candidates for acception-subscriber: 0:00:00.291692
Time to generate candidates for activemodel-base64_validator: 0:00:00.265476
Time to generate candidates for addy_caddy_client: 0:00:00.274682
Time to generate candidates for adtech-api-client: 0:00:00.274698
Time to generate candidates for addons-client: 0:00:00.260399
Time to generate candidates for alcatraz-client: 0:00:00.300138
Time to generate candidates for aliyun-mts: 0:00:00.264572
Time to generate candidates for aliyun_sls: 0:00:00.288580
Time to generate candidates for aliyun_sls_sdk: 0:00:00.287003
Time to generate candidates for also_validates: 0:00:00.286912
Time to generate candidates for acts_as_publicable: 0:00:00.278512
Time to generate candidates for android-publisher: 0:00:00.267268
Time to generate candidates for angel_list: 0:00:00.285910
Time to generate candidates for answers-ruby-client: 0:00:00.283621
Time to generate candidates for anything-slider: 0:00:00.271873
Time to generate candidates for anything_slider_rails: 0:00:00.262898
Time to generate candidates for active_pubsub: 0:00:00.265636
Time to generate candidates for N/A: 0:00:00.286895
Time to generate candidates for ability_engine: 0:00:00.293990
Time to generate candidates for apn_client: 0:00:00.295997
Time to generate candidates for apocalypse-client: 0:00:00.292679
Time to generate candidates for activerecord-serialize_coders: 0:00:00.291602
Time to generate candidates for apod-cli: 0:00:00.289021
Time to generate candidates for app-cli: 0:00:00.319484
Time to generate candidates for activerecord-publishable: 0:00:00.267031
Time to generate candidates for application_module: 0:00:00.286354
Time to generate candidates for activerecord-locking-symbolic: 0:00:00.290481
Time to generate candidates for ace-client-ext: 0:00:00.272271
Time to generate candidates for applied_css: 0:00:00.284210
Time to generate candidates for ar_database_duplicator: 0:00:00.277123
Time to generate candidates for ar_json_serialize: 0:00:00.329810
Time to generate candidates for ar_publish_control: 0:00:00.284546
Time to generate candidates for area_code_validator: 0:00:00.292191
Time to generate candidates for assemblyline-cli: 0:00:00.277625
Time to generate candidates for assemblyline-formatter: 0:00:00.304181
Time to generate candidates for active_model_version_serializers: 0:00:00.282516
Time to generate candidates for activemodel-url_validator: 0:00:00.302775
Time to generate candidates for asset_pipeline: 0:00:00.300179
Time to generate candidates for actionmailer-localized_preview: 0:00:00.297749
Time to generate candidates for active_model-attributes_validation: 0:00:00.286741
Time to generate candidates for activemodel-can_validator: 0:00:00.281016
Time to generate candidates for at_least_one_existence_validator: 0:00:00.270090
Time to generate candidates for atacama_client: 0:00:00.339628
Time to generate candidates for auth-transis-client: 0:00:00.302077
Time to generate candidates for authclient: 0:00:00.305942
Time to generate candidates for authenticated_client: 0:00:00.283401
Time to generate candidates for auto_validate: 0:00:00.266795
Time to generate candidates for active_model_serializers-cancan: 0:00:00.291533
Time to generate candidates for asset_link: 0:00:00.300296
Time to generate candidates for assets_offline: 0:00:00.256449
Time to generate candidates for 3scale_client: 0:00:00.284504
Time to generate candidates for apigee_cli: 0:00:00.283410
Time to generate candidates for asterisk-ari-client: 0:00:00.267129
Time to generate candidates for capistrano-auth-subscriber: 0:00:00.305066
Time to generate candidates for apidone-client: 0:00:00.276087
Time to generate candidates for applidget-oauth2: 0:00:00.301494
Time to generate candidates for capistrano-rails-subdir: 0:00:00.287780
Time to generate candidates for apibanca-client: 0:00:00.281039
Time to generate candidates for a1409yo_health: 0:00:00.272105
Time to generate candidates for acmesmith-designate: 0:00:00.270092
Time to generate candidates for a1408nw_Ounennhei: 0:00:00.262997
Time to generate candidates for abbreviated_methods: 0:00:00.282748
Time to generate candidates for acmesmith-ns1: 0:00:00.271760
Time to generate candidates for aastra_xml_api: 0:00:00.294035
Time to generate candidates for a1447ll_hpbd: 0:00:00.272328
Time to generate candidates for act_as_enumerable: 0:00:00.270748
Time to generate candidates for acme-smileage: 0:00:00.306935
Time to generate candidates for a15z8my_name: 0:00:00.301579
Time to generate candidates for action_meta_tags: 0:00:00.287912
Time to generate candidates for act_as_time_as_boolean: 0:00:00.292886
Time to generate candidates for abstract_api_wrapper: 0:00:00.304594
Time to generate candidates for acme-pki: 0:00:00.291005
Time to generate candidates for acmesmith-verisign: 0:00:00.251396
Time to generate candidates for abiquo-api: 0:00:00.268007
Time to generate candidates for acmesmith-google-cloud-dns: 0:00:00.300780
Time to generate candidates for acmesmith-google-cloud-storage: 0:00:00.287714
Time to generate candidates for rack-envinspector: 0:00:00.289741
Time to generate candidates for edmunds_vin: 0:00:00.271352
Time to generate candidates for deriving_license: 0:00:00.263538
Time to generate candidates for comicvine: 0:00:00.272646
Time to generate candidates for act_as_nameable: 0:00:00.276918
Time to generate candidates for a15666011_konagayoshi: 0:00:00.293085
Time to generate candidates for rails-test-serving: 0:00:00.287011
Time to generate candidates for a1548sy_yamamoto: 0:00:00.310090
Time to generate candidates for seeing_is_believing: 0:00:00.306392
Time to generate candidates for a1539kh_calculator: 0:00:00.282919
Time to generate candidates for omniauth-marvin: 0:00:00.283516
Time to generate candidates for acme-base64_hexagrams: 0:00:00.255550
Time to generate candidates for twitter-vine: 0:00:00.294337
Time to generate candidates for aai10-mechanize: 0:00:00.272919
Time to generate candidates for 1_as_identity_function: 0:00:00.301849
Time to generate candidates for em-synchrony-dataone-vin: 0:00:00.267619
Time to generate candidates for divining_rod: 0:00:00.263956
Time to generate candidates for moving_images: 0:00:00.302987
Time to generate candidates for a_stupid_test_gem: 0:00:00.286559
Time to generate candidates for jmcnevin-rghost_barcode: 0:00:00.263497
Time to generate candidates for a1426kt_prime_number: 0:00:00.289669
Time to generate candidates for 3scale_time_range: 0:00:00.282279
Time to generate candidates for a1521hk_minitest_practice: 0:00:00.287340
Time to generate candidates for acme-heisenberg: 0:00:00.270695
Time to generate candidates for acme-bleach: 0:00:00.291192
Time to generate candidates for absa-notify-me: 0:00:00.286745
Time to generate candidates for vagrant-hvinfo: 0:00:00.296222
Time to generate candidates for moving_average: 0:00:00.289176
Time to generate candidates for action_parameter: 0:00:00.302596
Time to generate candidates for nhtsa_vin: 0:00:00.269773
Time to generate candidates for a_special_day: 0:00:00.277885
Time to generate candidates for movingsign_api: 0:00:00.264282
Time to generate candidates for a14z6ch_elapsed_days: 0:00:00.265227
Time to generate candidates for living_dead: 0:00:00.279910
Time to generate candidates for ab_panel: 0:00:00.285222
Time to generate candidates for kevins_propietary_brain: 0:00:00.285618
Time to generate candidates for acme-leeway: 0:00:00.325037
Time to generate candidates for indonesian_province: 0:00:00.291775
Time to generate candidates for gimme_vins: 0:00:00.292657
Time to generate candidates for hello_kelvinst: 0:00:00.272743
Time to generate candidates for galvinhsiu-active_cart: 0:00:00.273870
Time to generate candidates for aasm_ohm_persistence: 0:00:00.266793
Time to generate candidates for first_giving_api: 0:00:00.293218
Time to generate candidates for kevin_thompson: 0:00:00.306862
Time to generate candidates for mars_rover_alvin: 0:00:00.292007
Time to generate candidates for devino_sms: 0:00:00.276299
Time to generate candidates for bitmovin-api: 0:00:00.266806
Time to generate candidates for moving_words: 0:00:00.261860
Time to generate candidates for actioncontroller-parameter_filter: 0:00:00.279112
Time to generate candidates for multi_movingsign: 0:00:00.272681
Time to generate candidates for abbish_sequel_plugins: 0:00:00.296913
Time to generate candidates for forgiving_nil: 0:00:00.277503
Time to generate candidates for 37-pieces-of-flair: 0:00:00.253453
Time to generate candidates for 3months_staff_schedule: 0:00:00.255172
Time to generate candidates for 99designs-tasks: 0:00:00.293387
Time to generate candidates for a1510jy_bmi: 0:00:00.296954
Time to generate candidates for a1520mk_exercise4: 0:00:00.291332
Time to generate candidates for aasm-active_fedora: 0:00:00.281394
Time to generate candidates for a1501da_birthday: 0:00:00.298054
Time to generate candidates for aasm_history: 0:00:00.287990
Time to generate candidates for a1508ki_ika: 0:00:00.290765
Time to generate candidates for a15745105_ichinoki: 0:00:00.300135
Time to generate candidates for a1616ts_gem: 0:00:00.282255
Time to generate candidates for a1624_bmi: 0:00:00.283264
Time to generate candidates for a1535yt_gem: 0:00:00.309896
Time to generate candidates for a1447ll_mini_test: 0:00:00.286156
Time to generate candidates for a1630ty_a1630ty: 0:00:00.267666
Time to generate candidates for a1521hk_age: 0:00:00.273895
Time to generate candidates for a1632ma_ano: 0:00:00.299022
Time to generate candidates for a15745105_ichinokii: 0:00:00.283203
Time to generate candidates for a15z7kn_niitsuma_2016_gem: 0:00:00.296309
Time to generate candidates for a1439ty_bmiV3: 0:00:00.269046
Time to generate candidates for a1420ks_bmi: 0:00:00.260338
Time to generate candidates for a1412tk_bmi: 0:00:00.303374
Time to generate candidates for allocation_stats: 0:00:00.267488
Time to generate candidates for alerty-plugin-datadog_event: 0:00:00.279412
Time to generate candidates for alexa_plugin_generator: 0:00:00.285628
Time to generate candidates for a1437ky_bmi3: 0:00:00.269836
Time to generate candidates for fluent-plugin-stats: 0:00:00.257604
Time to generate candidates for a1330ks_bmi: 0:00:00.288734
Time to generate candidates for active_record_stats: 0:00:00.274146
Time to generate candidates for foot_stats: 0:00:00.246815
Time to generate candidates for a1447ll_test: 0:00:00.260228
Time to generate candidates for active_scaffold_batch_vho: 0:00:00.285284
Time to generate candidates for airbrake-statsd: 0:00:00.270137
Time to generate candidates for belong-plugin-rds-pgsql-log: 0:00:00.280773
Time to generate candidates for cocoapods-fixbugs-plugin: 0:00:00.310340
Time to generate candidates for a-test-gem: 0:00:00.318777
Time to generate candidates for autoproj-stats: 0:00:00.248891
Time to generate candidates for arproxy-plugin-mysql_casual_log: 0:00:00.288264
Time to generate candidates for gamer_stats: 0:00:00.265143
Time to generate candidates for bunto_test_plugin: 0:00:00.257740
Time to generate candidates for chef-handler-statsd: 0:00:00.280084
Time to generate candidates for codestats-metrics-reporter: 0:00:00.284713
Time to generate candidates for atlassian_plugin_installer: 0:00:00.291864
Time to generate candidates for apptuit-fluent-plugin: 0:00:00.275555
Time to generate candidates for admiral_stats_parser: 0:00:00.276218
Time to generate candidates for education_stats: 0:00:00.287443
Time to generate candidates for bunto_test_plugin_malicious: 0:00:00.284142
Time to generate candidates for em-statsd-ruby: 0:00:00.283602
Time to generate candidates for emque-stats: 0:00:00.291449
Time to generate candidates for fluent-plugin-datadog-statsd: 0:00:00.285724
Time to generate candidates for commonmarker-pluggable: 0:00:00.298702
Time to generate candidates for halo_stats: 0:00:00.279168
Time to generate candidates for active_redis_stats: 0:00:00.287079
Time to generate candidates for blade-sauce_labs_plugin: 0:00:00.289994
Time to generate candidates for github-org-stats: 0:00:00.301104
Time to generate candidates for fluent-plugin-statsd: 0:00:00.288600
Time to generate candidates for fluent-plugin-statsd-event: 0:00:00.308056
Time to generate candidates for cap-drupal-multisite: 0:00:00.285705
Time to generate candidates for arctica-autorization-rails-plugin: 0:00:00.286049
Time to generate candidates for gitstats-rb: 0:00:00.281447
Time to generate candidates for dradis-nmap: 0:00:00.281050
Time to generate candidates for get_stats: 0:00:00.297629
Time to generate candidates for fluent-plugin-statsd-output: 0:00:00.297480
Time to generate candidates for fluent-plugin-stats-notifier: 0:00:00.295861
Time to generate candidates for github-release-stats: 0:00:00.312870
Time to generate candidates for fluent-plugin-haproxy_stats: 0:00:00.313118
Time to generate candidates for gitstats-ruby: 0:00:00.304570
Time to generate candidates for wordify_stuckiest: 0:00:00.332927
Time to generate candidates for fluent-plugin-dogstatsd: 0:00:00.306856
Time to generate candidates for jenkins_statsd: 0:00:00.282211
Time to generate candidates for alerty-plugin-amazon_sns: 0:00:00.304160
Time to generate candidates for em-statsd: 0:00:00.313123
Time to generate candidates for alerty-plugin-ikachan: 0:00:00.297457
Time to generate candidates for alerty-plugin-mail: 0:00:00.300518
Time to generate candidates for alerty-plugin-slack: 0:00:00.271376
Time to generate candidates for danger-apkstats: 0:00:00.302952
Time to generate candidates for contributors_stats: 0:00:00.326360
Time to generate candidates for active_model-password: 0:00:00.303170
Time to generate candidates for activeadmin_jfu_upload: 0:00:00.272785
Time to generate candidates for acts_as_explorable: 0:00:00.310127
Time to generate candidates for claide-plugins: 0:00:00.333786
Time to generate candidates for alephant-logger-statsd: 0:00:00.293452
Time to generate candidates for angular-file-upload-rails: 0:00:00.293485
Time to generate candidates for a1436mm_age: 0:00:00.306310
Time to generate candidates for batali-infuse: 0:00:00.313844
Time to generate candidates for bosh-plugin-pipeline: 0:00:00.294903
Time to generate candidates for bosh_cli_plugin_consul: 0:00:00.259274
Time to generate candidates for capistrano-stats: 0:00:00.319097
Time to generate candidates for bosh_lastpass_plugin: 0:00:00.280332
Time to generate candidates for active_model-better_errors: 0:00:00.265809
Time to generate candidates for bosh_cli_plugin_redis: 0:00:00.274519
Time to generate candidates for acts_as_better_tree: 0:00:00.279639
Time to generate candidates for artisan-plugin: 0:00:00.286222
Time to generate candidates for arethusa_plugin_generator: 0:00:00.292869
Time to generate candidates for spider-src: 0:00:00.276889
Time to generate candidates for alphabetical_paginate: 0:00:00.321558
Time to generate candidates for http_statsd: 0:00:00.304664
Time to generate candidates for alphabetical_paginate_uk: 0:00:00.273355
Time to generate candidates for bankgiro_inbetalningar: 0:00:00.292945
Time to generate candidates for beta-pod: 0:00:00.321104
Time to generate candidates for fluent-plugin-statsite: 0:00:00.277097
Time to generate candidates for spider-gazelle: 0:00:00.284730
Time to generate candidates for fluent-plugin-dogstatsd-mediba: 0:00:00.290838
Time to generate candidates for omniauth-mixer: 0:00:00.304550
Time to generate candidates for spider_html: 0:00:00.298973
Time to generate candidates for font-stack: 0:00:00.323267
Time to generate candidates for apress-api: 0:00:00.281746
Time to generate candidates for apress-documentation: 0:00:00.310901
Time to generate candidates for apress-moysklad: 0:00:00.294132
Time to generate candidates for ascii_press: 0:00:00.325950
Time to generate candidates for batsd-dash: 0:00:00.297165
Time to generate candidates for batch_translations: 0:00:00.284643
Time to generate candidates for batch_it: 0:00:00.291085
Time to generate candidates for commission_junction_stats: 0:00:00.284936
Time to generate candidates for active_model-password_reset: 0:00:00.316188
Time to generate candidates for batch-rails2: 0:00:00.298365
Time to generate candidates for cache_stats: 0:00:00.276513
Time to generate candidates for basic-stats: 0:00:00.271217
Time to generate candidates for aem-deploy: 0:00:00.307917
Time to generate candidates for batali-wedge: 0:00:00.263494
Time to generate candidates for airbrake_stats: 0:00:00.291063
Time to generate candidates for batali-tk: 0:00:00.289567
Time to generate candidates for autoexec_bat: 0:00:00.250219
Time to generate candidates for api_batch: 0:00:00.272929
Time to generate candidates for ba_upload: 0:00:00.270118
Time to generate candidates for activerecord-pluck_in_batches: 0:00:00.320342
Time to generate candidates for admob_site_stats: 0:00:00.277184
Time to generate candidates for activerecord-suppress_range_error: 0:00:00.268426
Time to generate candidates for font-awesome-sass-c: 0:00:00.299698
Time to generate candidates for font-awesome-sass-mixins: 0:00:00.306716
Time to generate candidates for font-awesome-sassc: 0:00:00.273509
Time to generate candidates for font-fabulous: 0:00:00.302001
Time to generate candidates for font-awesome-sass: 0:00:00.272017
